N1,N2,N3,ini_d1,ini_d2,ini_d3,sl_str,aud_str,strat1,strat2,fin_d1,fin_d2,fin_d3,fin_b1,fin_b2,fin_b3
1,5,4,4,4,4,0.25,1,5,5,14.875,8.0,14.5,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,6,4,3.375,16.5,6.5,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,5.375,5.875,9.1875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,15.125,9.125,20.8125,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,13.375,7.25,16.5625,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,14.375,7.375,8.4375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,13.625,8.75,22.3125,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,20.25,7.375,17.4375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,21.0,10.625,17.1875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,8.125,5.625,5.0,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,4.875,12.375,4.1875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,8.5,9.125,3.8125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,16.125,10.625,11.25,4.0,1.25,4.0
1,5,4,4,4,4,0.25,1,6,5,3.625,15.5,1.5625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,16.0,11.625,10.0,4.0,2.25,4.0
1,5,4,4,4,4,0.25,1,5,5,14.0,8.625,18.3125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,18.625,12.375,12.0,4.0,2.5,4.0
1,5,4,4,4,4,0.25,1,6,5,1.25,10.875,0.3125,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,18.5,9.375,15.6875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,6,5,9.625,16.375,3.375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,6,4,12.125,14.5,16.1875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,6,4,1.875,12.5,2.5,4.0,2.25,4.0
1,5,4,4,4,4,0.25,1,5,5,23.25,13.25,17.8125,4.0,2.5,4.0
1,5,4,4,4,4,0.25,1,5,4,18.5,15.875,11.4375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,6,5,10.75,12.0,11.5,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,12.125,14.75,7.6875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,4,12.75,8.375,18.5625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,17.5,12.0,17.875,4.0,2.25,4.0
1,5,4,4,4,4,0.25,1,5,5,7.125,10.875,6.1875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,6.125,5.375,4.125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,25.375,8.75,16.9375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,4,20.25,7.625,17.1875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,8.75,8.375,6.5625,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,10.375,13.625,14.8125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,12.5,9.125,8.6875,4.0,2.25,4.0
1,5,4,4,4,4,0.25,1,5,5,12.125,14.625,7.125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,7.25,10.5,12.4375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,20.875,15.75,13.875,4.0,2.5,4.0
1,5,4,4,4,4,0.25,1,5,5,0.875,3.625,0.1875,4.0,1.0,4.0
1,5,4,4,4,4,0.25,1,5,5,14.0,12.875,15.5,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,13.75,10.625,15.4375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,18.5,8.25,16.8125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,7.375,13.125,8.0,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,13.125,9.875,6.625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,21.25,10.125,14.8125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,19.125,7.25,17.25,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,18.125,6.25,19.125,4.0,2.0,4.0
